Respondent_ID,Age,Gender,Occupation,Monthly_Income_USD,Smartphone_Budget_USD,Replacement_Cycle_Years,Online_Shopping_Frequency,Brand_Loyalty,Camera_Importance,Gaming_Importance,Battery_Importance,AI_Feature_Interest,Design_Importance,Price_Sensitivity,Social_Media_Usage,Mobile_Gaming,Mobile_Photography
87,21,Female,Student,565,182,3.9,6,2,5,2,4,3,3,5,5,4,3
88,24,Female,Student,282,236,3.8,9,2,3,3,4,4,4,4,4,3,4
89,18,Female,Student,284,449,3.3,10,2,3,3,4,4,3,5,5,3,4
90,23,Male,Student,645,350,2.7,8,1,3,4,5,2,4,4,4,5,4
91,21,Male,Student,400,283,2.6,7,3,3,3,5,4,3,5,5,3,5
92,18,Female,Student,389,243,3.7,9,3,3,4,4,4,3,3,5,2,3
93,23,Female,Student,290,400,3.4,7,2,3,4,4,3,4,4,5,3,3
94,24,Female,Student,564,402,2.9,6,3,4,3,5,2,2,5,5,4,3
95,18,Male,Student,648,367,3.0,10,3,3,3,4,3,3,5,5,3,4
96,18,Male,Student,626,275,3.2,9,3,3,4,3,3,4,4,2,4,4
97,18,Female,Student,338,407,4.0,8,2,2,3,4,3,4,5,3,4,4
98,19,Male,Student,352,251,2.9,9,3,3,3,5,2,3,5,5,5,3
99,22,Female,Student,643,389,3.7,6,3,4,4,4,3,3,5,4,2,3
100,19,Female,Student,507,208,3.7,10,3,4,3,5,2,5,5,4,3,4
101,22,Female,Student,314,335,3.4,6,2,3,4,4,3,2,4,4,2,3
102,18,Male,Student,273,315,3.5,10,1,4,3,4,3,5,4,5,3,3
103,18,Male,Student,330,405,3.1,9,3,4,3,5,3,2,5,4,3,4
104,20,Male,Student,488,242,2.9,7,2,3,5,4,2,4,5,4,5,3
105,19,Male,Student,505,443,3.2,8,2,3,3,4,3,4,5,5,2,2
106,23,Female,Student,396,184,3.8,9,3,4,3,5,3,3,4,4,3,4
107,21,Female,Student,672,240,2.7,6,1,4,3,5,3,3,4,4,4,3
108,20,Female,Student,515,413,2.7,10,3,5,3,5,2,3,4,4,3,3
109,22,Female,Student,493,188,3.1,6,3,3,4,3,3,3,3,5,4,2
110,22,Male,Student,619,206,3.4,7,1,3,4,3,3,3,4,4,4,4
111,21,Male,Student,461,284,3.1,10,4,3,3,4,4,4,4,5,3,3
112,19,Female,Student,522,355,3.3,8,2,3,4,5,3,5,5,5,4,4
113,20,Female,Student,428,320,2.9,10,2,3,5,4,4,3,5,5,3,3
114,21,Female,Student,632,425,2.8,10,2,4,3,4,3,3,5,5,4,4
115,18,Female,Student,419,421,2.7,7,3,3,4,4,5,3,4,5,4,3
116,23,Male,Student,643,225,3.5,7,1,3,5,3,4,5,5,5,4,3
117,21,Male,Student,633,328,3.8,6,2,4,4,4,2,4,3,4,4,4
118,20,Male,Student,664,237,3.0,9,2,2,4,4,3,4,5,5,3,3
119,21,Female,Student,294,385,3.5,7,3,3,4,4,3,4,5,5,3,3
120,20,Female,Student,604,300,2.6,6,2,3,3,3,4,3,4,4,4,3
121,19,Male,Student,318,424,2.7,10,2,4,5,3,4,2,5,3,2,3
122,22,Female,Student,520,365,2.6,10,3,4,4,4,3,3,5,4,3,2
123,21,Male,Student,511,408,3.7,9,3,4,3,4,3,3,5,5,4,3
124,18,Male,Student,466,356,3.6,10,4,3,5,5,4,4,5,3,4,3
125,21,Female,Student,445,409,3.8,9,2,4,3,3,3,3,5,5,2,3
126,19,Male,Student,637,191,4.0,9,2,3,2,4,3,4,5,5,3,3
127,24,Female,Student,564,188,2.9,6,2,3,3,3,4,4,4,5,4,5
128,18,Male,Student,507,328,2.9,10,2,4,3,3,3,4,5,4,3,3
129,22,Male,Student,570,398,3.3,6,4,3,3,3,3,4,5,5,4,2
130,24,Male,Student,403,253,3.7,6,1,3,3,4,3,4,4,3,4,3
131,23,Male,Student,276,317,3.1,10,1,2,4,5,3,3,3,5,3,5
132,18,Male,Student,347,240,3.6,9,3,3,3,3,3,4,5,5,3,3
133,20,Female,Student,488,230,3.7,9,2,3,4,5,5,4,5,4,3,3
134,23,Female,Student,401,258,2.8,7,1,4,2,4,3,3,5,3,3,3
135,19,Female,Student,336,251,3.6,9,3,5,5,4,2,3,5,5,4,3
136,19,Male,Student,284,257,2.5,10,2,3,2,3,4,3,5,5,3,3
137,23,Female,Student,524,326,2.5,9,3,2,4,4,3,4,4,4,3,4
138,20,Female,Student,485,304,4.0,7,2,5,5,5,3,3,4,5,3,3
139,23,Male,Student,292,435,3.8,8,1,3,4,4,4,4,5,3,3,3
140,18,Female,Student,528,196,2.8,8,3,3,4,5,4,2,5,5,2,3
141,23,Female,Student,446,251,3.7,6,1,3,4,4,4,3,5,3,3,4
142,18,Female,Student,651,410,3.2,8,2,3,4,5,2,4,5,5,4,3
143,21,Male,Student,628,379,3.0,6,4,4,2,4,3,4,4,5,3,3
144,18,Female,Student,533,227,3.4,8,2,3,2,5,3,3,5,4,2,3
145,19,Male,Student,387,334,2.9,7,3,4,3,4,4,4,5,5,3,3
146,18,Male,Student,405,183,3.9,8,3,3,4,3,2,4,4,4,3,4
147,23,Male,Student,495,340,2.8,9,3,3,3,3,3,3,4,5,3,3
148,22,Male,Student,553,272,3.5,10,3,3,4,4,4,2,5,5,4,2
149,19,Female,Student,373,309,3.5,9,2,3,4,4,3,4,5,4,2,3
150,20,Male,Student,305,307,3.5,8,3,4,3,4,2,2,4,5,4,3
151,19,Male,Student,478,371,3.1,10,2,3,4,4,3,5,5,5,3,3
152,20,Female,Student,651,285,3.3,8,2,3,3,3,3,5,5,5,3,2
153,19,Male,Student,514,269,3.3,8,1,3,4,5,4,4,5,5,3,3
154,22,Female,Student,449,182,3.6,7,2,4,4,3,3,3,4,5,4,4
155,21,Female,Student,555,378,3.4,10,3,4,3,4,3,2,5,4,3,3
156,19,Female,Student,309,273,3.1,7,2,3,4,5,4,4,4,4,4,3
157,21,Female,Student,321,275,3.0,9,1,2,4,4,3,4,4,4,3,4
158,23,Female,Student,500,265,2.6,6,2,3,4,4,3,5,4,4,3,3
159,22,Male,Student,387,367,3.3,6,2,3,4,5,3,2,5,5,4,3
160,24,Male,Student,474,240,3.7,7,3,4,3,3,3,3,4,4,4,2
161,22,Female,Student,522,323,3.4,7,2,4,3,5,4,2,5,4,5,3
162,18,Female,Student,693,244,3.6,7,2,4,4,3,3,3,4,4,3,4
163,23,Male,Student,456,443,3.6,8,2,4,2,3,3,3,5,4,3,2
164,24,Female,Student,361,399,3.7,9,2,5,3,5,2,3,4,5,4,3
165,24,Female,Student,258,243,3.9,7,2,3,4,4,3,3,5,4,4,3
166,23,Female,Student,378,222,3.1,7,3,4,3,3,3,4,5,5,4,4
167,22,Female,Student,254,184,3.5,6,3,3,4,4,2,4,5,5,4,3
168,24,Male,Student,578,253,2.6,10,3,3,2,4,3,3,4,5,4,3
169,18,Male,Student,635,243,3.4,9,2,4,4,3,3,3,4,4,3,5
170,18,Female,Student,355,445,3.4,7,2,3,5,5,4,3,5,5,3,3
171,28,Female,Entrepreneur,2340,1296,1.9,8,4,5,3,5,5,5,2,3,2,5
172,40,Female,Entrepreneur,4374,1629,1.5,7,4,5,2,4,4,5,3,4,2,5
173,33,Female,Employee,3070,1615,1.4,5,5,5,2,5,4,4,2,2,3,5
174,39,Male,Employee,3833,1255,1.5,6,5,5,3,4,5,4,3,4,2,5
175,39,Male,Entrepreneur,3664,1423,1.4,7,5,4,3,5,5,4,3,4,3,5
176,28,Male,Employee,3732,1272,1.4,5,5,5,4,5,4,4,2,4,3,4
177,41,Male,Entrepreneur,2289,1414,1.7,4,5,5,4,5,5,5,2,5,2,5
178,28,Female,Employee,2994,1477,1.8,8,5,5,5,4,4,4,1,3,3,5
179,28,Male,Entrepreneur,4404,1759,1.7,4,5,5,2,4,4,4,1,3,2,5
180,30,Female,Employee,1979,1137,1.9,8,4,5,1,5,4,4,1,3,2,5
181,38,Male,Employee,2994,1167,1.9,7,4,4,2,5,5,5,2,3,2,5
182,35,Female,Entrepreneur,2294,1448,1.4,5,4,5,3,5,5,4,2,3,2,5
183,30,Male,Employee,3257,1305,1.5,6,5,5,3,5,3,5,2,4,2,4
184,28,Male,Employee,2335,1102,1.8,6,4,3,3,5,5,5,2,3,1,4
185,29,Female,Employee,1974,1372,1.1,8,4,5,2,5,4,5,2,3,2,5
186,37,Male,Entrepreneur,3843,1321,1.9,7,5,5,3,5,5,4,1,3,3,3
187,40,Female,Entrepreneur,4030,1700,1.5,8,4,5,3,5,5,5,2,3,3,5
188,40,Male,Employee,2210,1153,1.7,6,4,5,2,4,5,4,2,3,4,4
189,30,Male,Employee,4226,1225,1.8,6,5,5,2,3,3,4,3,5,3,4
190,32,Male,Entrepreneur,1955,992,1.1,8,5,5,4,5,4,5,1,2,2,4
191,28,Male,Employee,4971,1013,1.8,6,5,5,3,5,5,5,2,4,3,4
192,35,Female,Employee,4696,1475,1.7,8,5,4,2,5,4,5,3,4,4,4
193,34,Male,Employee,4267,1225,1.9,8,5,5,3,5,4,4,2,3,2,5
194,39,Female,Entrepreneur,1846,1171,1.2,4,4,5,2,5,4,5,2,4,2,4
195,34,Male,Entrepreneur,4167,1566,1.8,5,5,5,3,4,4,5,2,4,1,5
196,36,Male,Entrepreneur,4233,1528,1.9,4,4,5,2,4,5,5,3,3,1,4
197,36,Female,Entrepreneur,3018,1143,1.1,7,4,4,3,5,4,5,1,3,2,5
198,30,Female,Employee,3739,1764,1.1,7,3,5,2,5,4,5,1,4,3,5
199,32,Male,Entrepreneur,4111,963,1.2,4,5,5,1,4,4,4,2,2,1,5
200,41,Female,Employee,3750,1206,1.1,4,3,5,3,4,4,4,2,3,4,5
201,40,Male,Employee,1974,1333,1.1,7,5,5,3,5,4,5,2,3,1,4
202,41,Female,Entrepreneur,1850,1705,1.7,8,4,5,2,5,3,4,3,3,2,5
203,32,Female,Entrepreneur,2881,1292,1.7,8,5,5,2,5,3,4,3,4,2,5
204,39,Female,Entrepreneur,3325,920,1.3,6,4,5,3,4,5,5,1,5,2,4
205,39,Female,Employee,2569,1352,1.2,7,5,4,3,4,4,5,1,4,3,5
206,42,Male,Employee,2589,1796,1.8,4,5,5,3,4,4,5,1,3,2,5
207,33,Female,Entrepreneur,2527,1791,1.5,8,5,5,3,4,4,4,1,4,1,4
208,41,Male,Employee,4575,1111,1.3,7,3,5,4,5,4,5,2,5,2,5
209,32,Female,Entrepreneur,3342,1772,1.3,6,5,5,2,5,4,5,4,3,2,4
210,37,Female,Entrepreneur,4603,1010,1.5,6,5,5,3,4,4,3,2,4,2,3
211,40,Female,Entrepreneur,4588,1043,1.7,7,5,5,2,5,5,5,1,3,2,4
212,36,Female,Entrepreneur,3877,1207,1.8,8,5,5,3,5,5,4,2,4,2,5
213,33,Male,Entrepreneur,3522,1707,1.9,6,5,5,3,4,5,4,2,3,3,4
214,41,Female,Entrepreneur,3492,955,1.9,5,5,5,2,5,5,4,1,5,2,4
215,38,Male,Entrepreneur,4398,959,1.0,6,5,5,2,5,5,4,2,4,1,5
216,35,Female,Employee,1954,1446,1.2,6,5,4,3,4,4,5,2,3,2,4
217,29,Female,Entrepreneur,2484,966,1.8,6,5,5,2,5,3,5,3,5,1,5
218,30,Female,Employee,2735,1129,1.7,5,5,5,2,5,4,3,1,4,2,4
219,37,Male,Employee,4477,1756,1.0,4,4,5,2,5,5,5,1,3,1,4
220,32,Male,Entrepreneur,2229,1423,1.7,4,5,5,2,5,5,3,2,3,2,5
221,36,Female,Employee,4618,1392,1.3,4,5,5,3,5,3,5,2,3,2,3
222,38,Male,Entrepreneur,3012,1170,1.5,4,5,3,3,4,4,4,3,4,2,5
223,30,Male,Entrepreneur,3264,1348,2.0,6,5,5,3,4,3,5,2,4,3,4
224,38,Male,Employee,2342,1612,1.7,5,5,5,2,5,3,5,2,3,3,4
225,39,Male,Entrepreneur,3799,1015,1.9,7,5,5,2,5,4,4,1,3,3,5
226,33,Male,Entrepreneur,4510,1644,1.2,6,4,4,3,5,5,4,3,4,1,5
227,35,Male,Employee,4877,1403,1.3,6,5,5,3,5,4,5,1,4,1,5
228,35,Female,Employee,3837,1663,1.7,4,5,5,1,4,5,3,1,2,1,4
229,35,Female,Entrepreneur,2022,1736,1.2,7,4,5,2,4,4,5,3,4,3,5
230,38,Female,Entrepreneur,4675,1008,1.0,5,4,5,2,4,4,5,3,4,2,5
231,31,Female,Employee,4901,1324,1.0,8,5,5,2,5,2,5,3,4,1,5
232,37,Female,Employee,4633,1492,1.2,5,5,5,2,4,5,4,1,3,2,5
233,33,Female,Entrepreneur,2346,1041,1.4,8,4,5,3,4,5,4,2,4,2,5
234,38,Male,Employee,3863,1455,1.7,6,5,4,2,4,5,4,1,2,1,4
235,34,Male,Employee,1903,1290,1.1,4,5,5,3,5,4,5,2,3,2,5
236,41,Female,Employee,4323,1788,1.7,8,5,4,2,5,5,3,2,5,3,4
237,40,Female,Employee,1853,1661,1.3,8,5,4,2,5,4,4,1,4,2,4
238,39,Male,Entrepreneur,3638,1081,2.0,4,5,5,2,5,3,5,2,4,2,5
239,39,Male,Employee,2429,1230,1.6,8,5,4,3,4,5,5,1,3,1,5
240,30,Female,Entrepreneur,2176,1257,1.2,5,4,4,2,5,4,4,1,3,2,5
241,41,Female,Employee,2156,768,3.5,3,4,3,3,4,2,4,3,4,2,3
242,44,Female,Employee,1507,783,3.4,7,4,3,3,5,1,3,4,4,2,4
243,33,Male,Entrepreneur,1047,832,4.4,3,3,3,2,5,2,2,3,3,1,4
244,42,Female,Entrepreneur,934,649,4.3,7,5,3,3,5,4,3,3,3,1,4
245,32,Female,Entrepreneur,1681,652,4.6,3,3,3,2,5,2,2,4,3,1,2
246,41,Male,Employee,1152,471,3.0,7,3,4,2,5,2,2,4,4,2,3
247,35,Male,Entrepreneur,1297,508,3.4,7,5,2,4,4,1,3,3,3,2,4
248,45,Female,Entrepreneur,1162,793,4.3,3,4,3,2,5,2,4,3,2,1,3
249,43,Male,Employee,1541,576,4.6,6,4,4,1,4,1,3,4,2,2,4
250,32,Female,Employee,2003,550,3.5,3,4,2,2,4,3,2,4,2,2,3
251,45,Male,Entrepreneur,1703,564,4.8,7,4,3,1,5,2,3,3,2,2,2
252,35,Male,Entrepreneur,1226,541,4.1,7,3,2,1,4,2,3,3,3,1,3
253,36,Female,Entrepreneur,1861,682,4.8,3,5,3,1,4,3,2,3,4,2,4
254,41,Male,Entrepreneur,1670,564,4.0,5,4,3,2,3,4,3,3,3,1,3
255,34,Male,Employee,1641,758,4.4,3,4,3,1,5,2,2,3,2,1,3
256,34,Male,Employee,2189,712,3.1,7,4,4,2,4,1,4,3,2,1,2
257,32,Male,Entrepreneur,2142,691,4.7,4,4,4,2,5,2,2,3,3,1,2
258,32,Male,Entrepreneur,1689,517,3.2,4,2,3,1,4,2,3,4,2,2,3
259,33,Male,Entrepreneur,1166,758,4.1,3,5,2,1,4,2,3,3,3,2,2
260,42,Female,Employee,1771,518,3.5,4,4,3,1,4,2,3,3,3,1,3
261,42,Male,Entrepreneur,1737,635,3.2,6,4,3,2,4,2,3,3,2,1,4
262,45,Male,Entrepreneur,2045,734,4.0,5,3,3,1,5,2,3,4,4,2,3
263,42,Female,Employee,1229,649,4.9,3,4,2,1,5,3,3,3,3,1,2
264,42,Female,Employee,1258,777,4.0,3,4,4,2,4,3,3,3,3,2,3
265,37,Male,Employee,1077,591,4.6,5,4,3,2,5,2,1,2,2,1,3
266,41,Female,Employee,2141,549,3.9,6,4,3,1,5,3,3,5,2,3,3
267,38,Female,Entrepreneur,2053,697,4.5,5,5,3,1,5,3,3,4,3,3,3
268,37,Female,Entrepreneur,1623,714,4.1,5,4,4,1,4,4,4,3,3,2,3
269,36,Female,Employee,1380,826,3.5,5,4,4,2,5,2,3,4,2,1,2
270,31,Female,Entrepreneur,2171,611,4.0,7,5,3,3,5,2,3,3,3,2,2
271,31,Female,Entrepreneur,1257,684,5.0,7,3,3,2,5,2,3,3,2,1,3
272,45,Female,Entrepreneur,1276,705,3.8,6,4,3,2,4,2,3,3,3,2,4
273,37,Female,Entrepreneur,1301,524,4.6,4,4,3,1,5,3,2,3,3,1,3
274,31,Female,Employee,1234,480,3.4,5,3,3,1,5,2,4,4,3,2,3
275,36,Male,Entrepreneur,1627,616,4.3,6,4,2,2,5,1,3,4,2,2,3
276,42,Male,Employee,1231,625,3.5,5,3,2,1,4,3,2,5,2,1,3
277,35,Male,Employee,1156,822,3.5,5,5,3,2,5,2,3,4,2,2,3
278,32,Male,Entrepreneur,2165,529,3.2,6,4,4,1,5,3,4,5,3,2,3
279,45,Female,Entrepreneur,2023,677,3.3,7,4,4,1,4,1,3,3,2,1,4
280,32,Female,Entrepreneur,1649,661,3.5,5,5,3,2,4,2,4,3,2,2,3
281,43,Female,Employee,914,730,3.7,6,5,3,2,5,1,2,4,3,1,3
282,38,Female,Entrepreneur,1745,546,4.7,4,4,3,1,5,2,2,3,3,2,3
283,33,Female,Entrepreneur,1156,816,3.9,3,4,4,1,5,2,4,4,3,2,3
284,34,Male,Entrepreneur,1703,486,4.1,4,4,4,2,4,3,4,4,4,1,4
285,31,Male,Entrepreneur,1092,716,4.3,4,3,3,1,5,2,3,4,2,1,4
286,36,Female,Employee,1346,507,3.5,6,4,4,1,5,2,3,5,3,1,3
287,41,Male,Employee,1222,705,3.2,7,3,5,2,5,2,3,3,3,1,3
288,41,Female,Employee,943,802,3.8,4,4,3,1,4,1,3,3,2,1,4
289,35,Male,Employee,1820,601,4.6,7,4,3,1,4,2,3,4,2,2,4
290,42,Male,Entrepreneur,2029,528,4.2,5,3,4,2,5,4,3,4,3,2,3
291,31,Female,Entrepreneur,1976,769,4.4,5,4,3,1,5,3,3,5,2,1,3
292,41,Female,Entrepreneur,1019,765,3.5,3,4,2,2,5,2,3,4,3,2,4
293,35,Female,Employee,2080,633,4.3,6,4,3,2,5,2,3,4,3,1,4
294,40,Female,Entrepreneur,2196,670,4.7,5,3,3,2,5,3,3,4,3,1,4
295,39,Male,Employee,1518,453,3.6,4,4,4,2,3,3,2,3,3,1,3
296,44,Female,Employee,1183,585,3.7,7,4,4,1,5,2,3,4,3,1,3
297,33,Female,Employee,2080,645,3.2,3,5,3,2,4,3,3,4,2,2,2
298,42,Male,Entrepreneur,1973,471,3.6,7,4,4,2,5,2,2,3,3,1,3
299,39,Female,Employee,1170,622,3.2,7,4,2,1,5,1,3,4,2,2,4
300,36,Male,Employee,1046,586,4.6,5,4,2,2,5,2,3,3,4,2,3
